Designator,Mid X,Mid Y,Rotation,Layer
SW68,255.38,-183.76,0.0,top
SW69,286.324237,-186.7093,0.0,top
SW7,169.642987,-102.7993,0.0,top
SW70,319.93,-188.38,0.0,top
SW71,341.092987,-183.7618,0.0,top
SW72,48.199237,-202.8118,0.0,top
SW73,72.011737,-202.8118,0.0,top
SW74,95.824237,-202.8118,0.0,top
SW75,167.191987,-205.7108,0.0,top
SW76,236.317987,-202.8118,0.0,top
SW77,255.367987,-202.8118,0.0,top
SW78,274.417987,-202.8118,0.0,top
SW79,300.873849,-207.45881,0.0,top
SW8,188.692987,-102.7993,0.0,top
SW80,319.923849,-207.45881,0.0,top
SW81,338.973849,-207.45881,0.0,top
SW9,207.742987,-102.7993,0.0,top
